accession,taxon_id
NC_001348,10335
NC_001352,337043
NC_001354,10589
NC_001356,334203
NC_001430,138951
NC_001457,10617
NC_001458,28311
NC_001526,333760
NC_001576,333759
NC_001583,333762
NC_001586,333763
NC_001587,333764
NC_001591,10616
NC_001593,333765
NC_001595,10620
NC_001611,10255
NC_001664,32603
NC_001676,1671798
NC_001690,40538
NC_001691,40539
NC_001693,40540
NC_001694,333767
NC_001699,10632
NC_001716,10372
NC_001722,11709
NC_001943,1868658
NC_004295,72197
NC_004500,211787
NC_005134,247269
NC_005831,277944
NC_006273,10359
NC_006313,2907957
NC_006317,2907957
NC_006433,93830
NC_006435,93830
NC_006437,93830
NC_006577,290028
NC_007026,145856
NC_007027,145856
NC_008189,915425
NC_009225,687379
NC_009238,1891764
NC_009539,440266
NC_009889,11834
NC_010277,493803
NC_010329,337054
NC_010562,499556
NC_010563,499556
NC_011800,318279
NC_012486,915427
NC_012776,649188
NC_012777,649188
NC_012798,2003651
NC_012801,586420
NC_012802,2003650
NC_013035,915428
NC_014068,687376
NC_014074,687366
NC_014076,687349
NC_014080,687346
NC_014081,687342
NC_014083,687364
NC_014086,687370
NC_014088,687371
NC_014089,687373
NC_014093,687380
NC_014094,687345
NC_014095,687374
NC_014097,687369
NC_014185,915429
NC_014361,862909
NC_014406,746830
NC_014407,746831
NC_014469,746832
NC_014954,909330
NC_014956,909333
NC_015150,943908
NC_016155,683172
NC_016157,1055684
NC_017995,1070410
NC_017997,1070417
NC_018102,1203539
NC_019026,683174
NC_019027,1247113
NC_019028,1247114
NC_020106,1277649
NC_021568,1345637
NC_021928,11224
NC_022095,1472342
NC_022518,166122
NC_022788,1415627
NC_022789,1415628
NC_022892,1420545
NC_023874,2038728
NC_023891,1478160
NC_023984,1233383
NC_024118,1497391
NC_024472,1518575
NC_024694,1525173
NC_024888,1391667
NC_025114,1547495
NC_025726,1535290
NC_025727,1535291
NC_025961,1582094
NC_026161,1519400
NC_026169,1519409
NC_026252,1595998
NC_026946,1647924
NC_027528,1682340
NC_027779,10566
NC_028125,1315262
NC_028459,1985415
NC_030297,1859149
NC_030447,1862824
NC_030448,1862825
NC_032682,1755290
NC_033781,1248396
NC_034253,1965344
NC_034254,11318
NC_034255,11318
NC_034256,11318
NC_034261,11318
NC_034262,11318
NC_034263,11318
NC_034443,318848
NC_034486,80941
NC_034487,80941
NC_034506,80941
NC_034616,652810
NC_035211,2017083
NC_035212,2017081
NC_035213,2017082
NC_035469,2025360
NC_035474,1820159
NC_035758,1803394
NC_036877,742915
NC_038282,1987020
NC_038283,1987021
NC_038312,44130
NC_038337,687348
NC_038345,2065036
NC_038346,2065037
NC_038347,2065038
NC_038350,2065044
NC_038351,2065045
NC_038352,2065046
NC_038353,2065047
NC_038354,2065048
NC_038355,2065049
NC_038356,2065050
NC_038357,2065051
NC_038358,2065052
NC_038359,2065053
NC_038360,2065054
NC_038361,2065055
NC_038392,743300
NC_038412,742918
NC_038413,742917
NC_038414,742924
NC_038415,742916
NC_038416,742922
NC_038417,742923
NC_038418,1520935
NC_038426,2008762
NC_038436,1704090
NC_038497,1792832
NC_038522,1315264
NC_038523,1434987
NC_038524,1434782
NC_038525,1650736
NC_038594,40057
NC_038595,40057
NC_038596,40057
NC_038597,40057
NC_038598,40057
NC_038599,40057
NC_038600,40057
NC_038601,40057
NC_038602,40057
NC_038603,40057
NC_038604,40058
NC_038605,40058
NC_038606,40058
NC_038607,40058
NC_038608,40058
NC_038609,40058
NC_038610,40058
NC_038611,40058
NC_038612,40058
NC_038613,40058
NC_038726,1678225
NC_038727,1678225
NC_038728,1678225
NC_038914,1472343
NC_039024,2170194
NC_039025,2170195
NC_039061,2169934
NC_039062,2169935
NC_039063,2169936
NC_039086,1851130
NC_040550,2049444
NC_040619,2049444
NC_040620,2049444
NC_040688,2049444
NC_040691,2049444
NC_040803,2049444
NC_040804,2049444
NC_040805,2049444
NC_040806,2049444
NC_043067,1987017
NC_043445,2170197
NC_055327,629727
NC_055328,629727
NC_055329,629727
NC_055330,629726
NC_055331,629726
NC_055332,629726
NC_055339,1000646
NC_055340,1000646
NC_055341,1000646
NC_055342,1004889
NC_055343,1004889
NC_055344,1004889
